"Time","relative_humidity.mean {site_location: fhz}"
2018-07-27 12:46:00,25.1
2018-07-27 12:48:00,25.1
2018-07-27 12:50:00,24.9
2018-07-27 12:52:00,25.1
2018-07-27 12:54:00,25.2
2018-07-27 12:56:00,25.3
2018-07-27 12:58:00,25.5
2018-07-27 13:00:00,25.4
2018-07-27 13:02:00,25.6
2018-07-27 13:04:00,25.1
2018-07-27 13:06:00,25.1
2018-07-27 13:08:00,25
2018-07-27 13:10:00,24.8
2018-07-27 13:12:00,24.8
2018-07-27 13:14:00,24.5
2018-07-27 13:16:00,24.5
2018-07-27 13:18:00,24.3
2018-07-27 13:20:00,23.7
2018-07-27 13:22:00,23.7
2018-07-27 13:24:00,23.9
2018-07-27 13:26:00,24.1
2018-07-27 13:28:00,24.5
2018-07-27 13:30:00,24.4
2018-07-27 13:32:00,24.8
2018-07-27 13:34:00,25.0
2018-07-27 13:36:00,25.1
2018-07-27 13:38:00,25.2
2018-07-27 13:40:00,25.3
2018-07-27 13:42:00,25.0
2018-07-27 13:44:00,24.3
2018-07-27 13:46:00,24.3
2018-07-27 13:48:00,23.9
2018-07-27 13:50:00,23.7
2018-07-27 13:52:00,23.9
2018-07-27 13:54:00,23.7
2018-07-27 13:56:00,23.6
2018-07-27 13:58:00,23.3
2018-07-27 14:00:00,23.5
2018-07-27 14:02:00,23.7
2018-07-27 14:04:00,23.8
2018-07-27 14:06:00,23.4
2018-07-27 14:08:00,23.2
2018-07-27 14:10:00,22.8
2018-07-27 14:12:00,22.5
2018-07-27 14:14:00,22.5
2018-07-27 14:16:00,22.5
2018-07-27 14:18:00,22.3
2018-07-27 14:20:00,22.5
2018-07-27 14:22:00,22.4
2018-07-27 14:24:00,22.1
2018-07-27 14:26:00,22.3
2018-07-27 14:28:00,22.4
2018-07-27 14:30:00,22.7
2018-07-27 14:32:00,22.9
2018-07-27 14:34:00,22.9
2018-07-27 14:36:00,22.7
2018-07-27 14:38:00,22.8
2018-07-27 14:40:00,22.5
2018-07-27 14:42:00,22
2018-07-27 14:44:00,21.7
2018-07-27 14:46:00,21.5
2018-07-27 14:48:00,21.1
2018-07-27 14:50:00,21.1
2018-07-27 14:52:00,21.3
2018-07-27 14:54:00,21.3
2018-07-27 14:56:00,21.2
2018-07-27 14:58:00,21.3
2018-07-27 15:00:00,21.2
2018-07-27 15:02:00,21.5
2018-07-27 15:04:00,21.6
2018-07-27 15:06:00,21.7
2018-07-27 15:08:00,22.1
2018-07-27 15:10:00,22.2
2018-07-27 15:12:00,22.4
2018-07-27 15:14:00,22.1
2018-07-27 15:16:00,22.1
2018-07-27 15:18:00,21.8
2018-07-27 15:20:00,22.0
2018-07-27 15:22:00,22.0
2018-07-27 15:24:00,22.2
2018-07-27 15:26:00,22.1
2018-07-27 15:28:00,22.2
2018-07-27 15:30:00,22.3
2018-07-27 15:32:00,22.4
2018-07-27 15:34:00,22.5
2018-07-27 15:36:00,22.7
2018-07-27 15:38:00,22.9
2018-07-27 15:40:00,23.1
2018-07-27 15:42:00,23.5
2018-07-27 15:44:00,23.8
2018-07-27 15:46:00,23.6
2018-07-27 15:48:00,23.6
2018-07-27 15:50:00,23.8
2018-07-27 15:52:00,23.8
2018-07-27 15:54:00,24.0
2018-07-27 15:56:00,23.9
2018-07-27 15:58:00,24.1
2018-07-27 16:00:00,24.4
2018-07-27 16:02:00,24.2
2018-07-27 16:04:00,24.0
2018-07-27 16:06:00,24.3
2018-07-27 16:08:00,24.3
2018-07-27 16:10:00,24.1
2018-07-27 16:12:00,24.2
2018-07-27 16:14:00,24.4
2018-07-27 16:16:00,24.7
2018-07-27 16:18:00,24.9
2018-07-27 16:20:00,25.1
2018-07-27 16:22:00,25.1
2018-07-27 16:24:00,25.3
2018-07-27 16:26:00,25.3
2018-07-27 16:28:00,25.1
2018-07-27 16:30:00,25.1
2018-07-27 16:32:00,25.1
2018-07-27 16:34:00,25.1
2018-07-27 16:36:00,25.3
